,DN,nome,ano,area,classificação
396,15,Paraguaçu,2008,41881150.0,Antrópico
397,15,Paraguaçu,2021,39488815.0,Antrópico
398,15,Paranapanema,2008,69266173.0,Antrópico
399,15,Paranapanema,2021,62779061.0,Antrópico
400,15,Paranaíba,2008,313433369.0,Antrópico
401,15,Paranaíba,2021,240339976.0,Antrópico
402,15,Paraná,2008,285683904.0,Antrópico
403,15,Paraná,2021,166092613.0,Antrópico
404,15,Paraíba do Sul,2008,291422021.0,Antrópico
405,15,Paraíba do Sul,2021,262097490.0,Antrópico
406,15,Parnaíba,2008,40355242.0,Antrópico
407,15,Parnaíba,2021,38303565.0,Antrópico
408,15,São Francisco,2008,411445134.0,Antrópico
409,15,São Francisco,2021,379650563.0,Antrópico
410,15,Tapajós,2008,323539897.0,Antrópico
411,15,Tapajós,2021,193280934.0,Antrópico
412,15,Tietê,2008,98676284.0,Antrópico
413,15,Tietê,2021,54085703.0,Antrópico
414,15,Tocantins,2008,5269170.0,Antrópico
415,15,Tocantins,2021,634304541.0,Antrópico
416,15,Uatuamã,2008,5269170.0,Antrópico
417,15,Uatuamã,2021,6064554.0,Antrópico
418,15,Uruguai,2008,57617918.0,Antrópico
419,15,Uruguai,2021,43499116.0,Antrópico
420,15,Xingú,2008,301962554.0,Antrópico
421,15,Xingú,2021,177925552.0,Antrópico
422,20,Grande,2008,26312775.0,Antrópico
423,20,Grande,2021,13675193.0,Antrópico
424,20,Paranapanema,2008,5779331.0,Antrópico
425,20,Paranapanema,2021,2050795.0,Antrópico
426,20,Paranaíba,2008,1960923.0,Antrópico
427,20,Paranaíba,2021,2042893.0,Antrópico
428,20,Paraná,2008,2108581.0,Antrópico
429,20,Paraná,2021,1727097.0,Antrópico
430,20,Paraíba do Sul,2008,12360.0,Antrópico
431,20,Paraíba do Sul,2021,19777.0,Antrópico
432,20,Parnaíba,2008,31964.0,Antrópico
433,20,Parnaíba,2021,17805.0,Antrópico
434,20,São Francisco,2008,1035227.0,Antrópico
435,20,São Francisco,2021,658174.0,Antrópico
436,20,Tietê,2021,6557562.0,Antrópico
437,20,Tocantins,2021,384005.0,Antrópico
438,21,Antas,2008,24068441.0,Antrópico
439,21,Antas,2021,12957790.0,Antrópico
440,21,Capivari,2008,3588733.0,Antrópico
441,21,Capivari,2021,3965195.0,Antrópico
442,21,Correntes,2008,535029.0,Antrópico
443,21,Correntes,2021,606697.0,Antrópico
444,21,Doce,2008,161652618.0,Antrópico
445,21,Doce,2021,178772836.0,Antrópico
446,21,Grande,2008,385963565.0,Antrópico
447,21,Grande,2021,508297172.0,Antrópico
448,21,Iguaçu,2008,214475061.0,Antrópico
449,21,Iguaçu,2021,184566193.0,Antrópico
450,21,Itabapoana,2008,46094121.0,Antrópico
451,21,Itabapoana,2021,8920873.0,Antrópico
452,21,Itajaí-Açú,2008,31536127.0,Antrópico
453,21,Itajaí-Açú,2021,33217832.0,Antrópico
454,21,Itiquira,2008,150498.0,Antrópico
455,21,Itiquira,2021,17675686.0,Antrópico
456,21,Jacuí,2008,34718450.0,Antrópico
457,21,Jacuí,2021,17675686.0,Antrópico
458,21,Jauru,2008,864.0,Antrópico
459,21,Jauru,2021,866.0,Antrópico
460,21,Jequitinhonha,2008,42709120.0,Antrópico
461,21,Jequitinhonha,2021,45455918.0,Antrópico
462,21,Madeira,2008,1009870.0,Antrópico
463,21,Madeira,2021,111545.0,Antrópico
464,21,Manso,2008,976821.0,Antrópico
465,21,Manso,2021,11990903.0,Antrópico
466,21,Mucuri,2008,18998519.0,Antrópico
467,21,Mucuri,2021,20617672.0,Antrópico
468,21,Paraguaçu,2008,9893855.0,Antrópico
469,21,Paraguaçu,2021,15519238.0,Antrópico
470,21,Paranapanema,2008,309719538.0,Antrópico
471,21,Paranapanema,2021,320478246.0,Antrópico
472,21,Paranaíba,2008,323883589.0,Antrópico
473,21,Paranaíba,2021,470948303.0,Antrópico
474,21,Paraná,2008,468511259.0,Antrópico
475,21,Paraná,2021,386639046.0,Antrópico
476,21,Paraíba do Sul,2008,185979459.0,Antrópico
477,21,Paraíba do Sul,2021,204687862.0,Antrópico
478,21,Parnaíba,2008,60256479.0,Antrópico
479,21,Parnaíba,2021,77003227.0,Antrópico
480,21,São Francisco,2008,279658143.0,Antrópico
481,21,São Francisco,2021,559753266.0,Antrópico
482,21,Tapajós,2008,3484335.0,Antrópico
483,21,Tapajós,2021,4148974.0,Antrópico
484,21,Tietê,2008,42709120.0,Antrópico
485,21,Tietê,2021,340619783.0,Antrópico
486,21,Tocantins,2021,228940307.0,Antrópico
487,21,Uruguai,2008,588191806.0,Antrópico
488,21,Uruguai,2021,438086683.0,Antrópico
