,DN,nome,ano,area
615,25,Uruguai,2021,35183971.0
616,25,Xingú,2008,489525.0
617,25,Xingú,2021,329843.0
618,29,Capivari,2008,6494.0
619,29,Doce,2008,1818236.0
620,29,Doce,2021,1990855.0
621,29,Grande,2008,626598.0
622,29,Grande,2021,604837.0
623,29,Iguaçu,2008,29037.0
624,29,Iguaçu,2021,36231.0
625,29,Itabapoana,2008,12299.0
626,29,Itabapoana,2021,4186.0
627,29,Itajaí-Açú,2008,5597.0
628,29,Itajaí-Açú,2021,2399.0
629,29,Jequitinhonha,2008,1937192.0
630,29,Jequitinhonha,2021,1605227.0
631,29,Mucuri,2008,266448.0
632,29,Mucuri,2021,350924.0
633,29,Paranaíba,2008,6739.0
634,29,Paranaíba,2021,7581.0
635,29,Paraíba do Sul,2008,417824.0
636,29,Paraíba do Sul,2021,336972.0
637,29,Parnaíba,2008,13266.0
638,29,Parnaíba,2021,4054610.0
639,29,São Francisco,2008,1201920.0
640,29,São Francisco,2021,2782513.0
641,29,Tietê,2008,1937192.0
642,29,Tietê,2021,87046.0
643,29,Tocantins,2021,22637.0
644,29,Uruguai,2008,1627970.0
645,29,Uruguai,2021,1908515.0
646,30,Araguari,2008,1031546.0
647,30,Araguari,2021,1954924.0
648,30,Doce,2008,515992.0
649,30,Doce,2021,877266.0
650,30,Grande,2008,112422.0
651,30,Grande,2021,217599.0
652,30,Iguaçu,2008,541444.0
653,30,Iguaçu,2021,960026.0
654,30,Itabapoana,2008,4788.0
655,30,Itajaí-Açú,2008,4788.0
656,30,Itajaí-Açú,2021,7183.0
657,30,Jari,2008,244039.0
658,30,Jari,2021,387068.0
659,30,Jequitinhonha,2008,60907.0
660,30,Jequitinhonha,2021,61764.0
661,30,Madeira,2008,31027098.0
662,30,Madeira,2021,41476777.0
663,30,Paraguaçu,2008,9581.0
664,30,Paraguaçu,2021,15678.0
665,30,Paranapanema,2008,27777.0
666,30,Paranapanema,2021,25331.0
667,30,Paranaíba,2008,375118.0
668,30,Paranaíba,2021,698090.0
669,30,Paraíba do Sul,2008,51187.0
670,30,Paraíba do Sul,2021,70987.0
671,30,São Francisco,2008,839006.0
672,30,São Francisco,2021,3067933.0
673,30,Tapajós,2008,83379163.0
674,30,Tapajós,2021,183796518.0
675,30,Tietê,2008,60907.0
676,30,Tietê,2021,103750.0
677,30,Tocantins,2008,10599929.0
678,30,Tocantins,2021,27171760.0
679,30,Uatuamã,2008,10599929.0
680,30,Uatuamã,2021,12203487.0
681,30,Xingú,2008,17071804.0
682,30,Xingú,2021,44120022.0
683,31,Paraíba do Sul,2008,7003146.0
684,31,Paraíba do Sul,2021,5846933.0
685,31,Tietê,2021,22208.0
686,32,Doce,2008,2536.0
687,32,Jequitinhonha,2008,4304.0
688,32,Jequitinhonha,2021,6026.0
689,32,Mucuri,2008,9361.0
690,32,Mucuri,2021,16167.0
691,32,Paraguaçu,2008,89858.0
692,32,Paraguaçu,2021,61937.0
693,32,Paraíba do Sul,2008,37419.0
694,32,Paraíba do Sul,2021,44129.0
695,32,Parnaíba,2008,781354.0
696,32,Parnaíba,2021,807253.0
697,32,Tietê,2008,4304.0
698,32,Tietê,2021,18065.0
699,33,Antas,2008,58149240.0
700,33,Antas,2021,66199339.0
701,33,Araguari,2008,78428779.0
702,33,Araguari,2021,80418934.0
703,33,Capivari,2008,15403921.0
704,33,Capivari,2021,14499549.0
705,33,Correntes,2008,21608458.0
706,33,Correntes,2021,19997779.0
707,33,Curruá Una,2008,90211504.0
708,33,Curruá Una,2021,84334005.0
709,33,Doce,2008,610442110.0
710,33,Doce,2021,603787731.0
711,33,Grande,2008,3168894638.0
712,33,Grande,2021,2874452508.0
713,33,Iguaçu,2008,987719056.0
714,33,Iguaçu,2021,979933710.0
715,33,Itabapoana,2008,54426621.0
716,33,Itabapoana,2021,18695383.0
717,33,Itajaí-Açú,2008,18759475.0
718,33,Itajaí-Açú,2021,19355346.0
719,33,Itiquira,2008,3361654.0
720,33,Itiquira,2021,313629880.0
721,33,Jacuí,2008,315247913.0
722,33,Jacuí,2021,313629880.0
723,33,Jari,2008,245909534.0
724,33,Jari,2021,221772763.0
725,33,Jauru,2008,6759798.0
726,33,Jauru,2021,6578595.0
727,33,Jequitinhonha,2008,410895990.0
728,33,Jequitinhonha,2021,366065165.0
729,33,Madeira,2008,4484534802.0
730,33,Madeira,2021,4415241672.0
731,33,Manso,2008,339269360.0
732,33,Manso,2021,306820654.0
733,33,Mucuri,2008,44815834.0
734,33,Mucuri,2021,43826218.0
735,33,Paraguaçu,2008,293788471.0
736,33,Paraguaçu,2021,261013017.0
